study_type,poverty_context,mechanism,behavior,title,date
"Observational, Cross-sectional","Low resource level, Social environment","Anxiety, Stress",Crime,"Accumulated Strain, Negative Emotions,and Crime",2010
"Regression discontinuity, Observational, Longitudinal / Panel","Low resource level, Physical environment","Aspirations, Locus of control",Occupational choice,Sustainability Trade-Offs in Media Coverage of Poverty Alleviation: A Content-Based Spatiotemporal Analysis in China’s Provinces,2022
"Observational, Cross-sectional","Low resource level, Physical environment","Anxiety, Stress",Educational achievement,"Client’s satisfaction with maternal child health services in tier three public health facilities, Kisumu county, Kenya",2020
"Observational, Cross-sectional","Low resource level, Resource volatility","Anxiety, Stress",Consumption,A CONCEPTUAL PAPER ON SUBJECTIVE POVERTY AS PERCEIVED LASTING SOCIOECONOMIC INSECURITY AMONG LOW INCOME HOUSEHOLD DURING MCO AND COVID 19 PANDEMIC,2022
"Observational, Cross-sectional","Low resource level, Physical environment","Stress, Self-efficacy","Consumption, Medication adherence",Individual and contextual correlates of mosquito net use among women in Nigeria,2020
"Observational, Cross-sectional",Low resource level,Time preferences,"Consumption, Food diet",Trends and Patterns in Nutritional Intake in India,2017
"Observational, Interviews",Low resource level,"Anxiety, Stress",Medication adherence,"Patient-Related Factors Influencing Adherence to ART, A Case of Chivuna, Southern Province of Zambia",2019
"Observational, Systematic review","Low resource level, Physical environment",Stress,"Consumption, Food diet",Current Perspectives on the Strategic Future of the Poultry Industry After the COVID-19 Outbreak,2022
"Ethnography, First-hand observations, Interviews","Low resource level, Social environment","Anxiety, Stress, Internalized stigma",Family interaction,This Is Not Our Culture! Discourse of Nostalgia and Narratives of Health Concerns in Post-Socialist Tanzania,2008
"Observational, Recordings","Low resource level, Social environment","Stress, Self-efficacy","Consumption, Educational achievement",HIV Prevention among Young People in Sub-Saharan Africa,2024
"Randomized (controlled) trial, Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Anxiety, Self-efficacy",Parenting,Trauma-informed initial teacher education training: A necessary step in a system-wide response to addressing childhood trauma,2022
"Observational, Cross-sectional",Low resource level,"Happiness, Time preferences","Consumption, Investing",THE AMERICAN DREAM 'IGNIS FATUUS' OR A SURE BET? A POSTMODERN DOGMATIC INTERPRETATION OF AMERICAN NOVELS,2022
"Observational, Cross-sectional","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Interview: Curriculum Reforms in Kenya,2018
"Randomized (controlled) trial, Longitudinal / Panel","Low resource level, Social environment","Anxiety, Internalized stigma",Medication adherence,An agricultural livelihood intervention is associated with reduced HIV stigma among people with HIV,2024
"Observational, Cross-sectional","Low resource level, Human capital inputs","Memory, Attention",Educational achievement,Creating a culture of vocabulary acquisition for children living in poverty,2008
"Observational, Cross-sectional","Low resource level, Resource volatility","Aspirations, Locus of control",Investing,The Indonesian perspective toward rising China,2016
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Human capital inputs","Anxiety, Depression",Educational achievement,Use of Mental Health Services by Children Ages Six to 11 With Emotional or Behavioral Difficulties,2015
"Observational, Interviews",Low resource level,"Aspirations, Locus of control","Consumption, Saving",Crises as impulses for changes in socio-economic systems,2022
"Observational, Cross-sectional","Low resource level, Physical environment",Time preferences,Consumption,A poverty‐focused evaluation of commodity tax options,2007
"Observational, Systematic review","Low resource level, Physical environment",Stress,Consumption,Enhancing Food Grains Storage Systems through Insect Pest Detection and Control Measures for Maize and Beans: Ensuring Food Security Post-COVID-19 Tanzania,2024
"Case-study, Interviews",Low resource level,"Executive control, Executive function",Educational achievement,A Multiple Case Study of Two Teachers’ Instructional Adaptations,2014
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Family interaction,"Navigating Political Disagreement in Social Work: An Analysis of Past Literature, Ethical Guidance, and Case Examples",2022
"Observational, Interviews, Focus groups",Low resource level,"Self esteem, Anxiety",Medication adherence,Patient Perspectives on Improving Oral Health-Care Practices among People Living with HIV/AIDS,2012
"Observational, Cross-sectional","Low resource level, Social environment","Internalized stigma, Self-efficacy",Occupational choice,Challenges of empowering gender equality in the small and medium enterprises of the Republic of Kazakhstan,2024
Observational,Low resource level,"Anxiety, Stress",Medication adherence,"Income Disparities in the Prevalence, Severity, and Costs of Co-occurring Chronic and Behavioral Health Conditions",2018
Observational,Low resource level,"Attention, Cognitive flexibility","Consumption, Food diet",The Health Literacy of U.S. Immigrant Adolescents: A Neglected Research Priority in a Changing World,2018
"Observational, Interviews",Low resource level,"Aspirations, Locus of control",Educational achievement,"Psychology in Bangladesh: Progress, Prospects, and Challenges",2024
Observational,"Low resource level, Resource volatility",Time preferences,"Consumption, Saving",Bolivia: Impact of Shocks and Poverty Policy on Household Welfare,2006
"Observational, Systematic review","Low resource level, Resource volatility, Social environment","Anxiety, Depression, Stress","Labor Supply, Occupational choice",THE SWEDISH SOCIAL LANDSCAPE IN SOCIAL WORK PRACTICE WITH VULNERABLE YOUNG POPULATIONS,2020
Observational,Human capital inputs,Self-efficacy,Educational achievement,Recruiting and Retaining Board-Certified Teachers for Hard-to-Staff Schools,2005
"Observational, Cross-sectional","Low resource level, Physical environment","Aspirations, Self-efficacy",Educational achievement,Renewable energy doctoral programmes in sub-Saharan Africa: A preliminary assessment of common capacity deficits and emerging capacity-building strategies,2015
Observational,Low resource level,Self-efficacy,Educational achievement,MAPping Los Angeles County: Taking an Evidence-Informed Model of Mental Health Care to Scale,2013
Observational,Low resource level,Risk preferences,Investing,Situating the Asian Infrastructure Investment Bank in the context of global economic governance,2018
"Observational, Cross-sectional",Low resource level,Self-efficacy,"Labor Supply, Occupational choice",Designing Employment-centered Empowerment Model for Rural Women Head of Households in Ilam Province with an Emphasis on their Professional Competencies,2020
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Family interaction,MOTHERHOOD AND THE MEDIA UNDER THE MICROSCOPE: THE BACKLASH AGAINST FEMINISM AND THE MOMMY WARS,2013
"Observational, Systematic review","Low resource level, Social environment",Aspirations,"Consumption, Saving",Social Protection Policy and its Response in Nepal,2022
"Observational, Case-study",Low resource level,Aspirations,Crime,Vincent OGé Jeune (1757-91): Social Class and Free Colored Mobilization on the Eve of the Haitian Revolution,2011
Observational,"Low resource level, Human capital inputs",Aspirations,Educational achievement,"The Effect of Average Length of Schooling, Life Expectancy and Economic Growth on Poverty in Banjarnegara Regency 2005-2019",2021
"Observational, Interviews","Low resource level, Human capital inputs","Self-efficacy, Self esteem",Educational achievement,Financial literacy in Turkish preschool education,2021
"Observational, Interviews","Low resource level, Physical environment","Stress, Self-efficacy",Exercise,Opportunities and challenges facing NGOs using sport as a vehicle for development in post-apartheid South Africa,2012
Observational,Low resource level,"Internalized stigma, Locus of control",Crime,Political patronage: A catalyst for corruption and misgovernance in South Africa,2024
"Case-study, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Educational achievement,Global civil society and education policy in post-genocide Rwanda,2015
"Observational, Cross-sectional","Low resource level, Social environment","Memory, Stress",Educational achievement,Small-Area Estimation of the Probability of Toxocariasis in New York City Based on Sociodemographic Neighborhood Composition,2014
"Observational, Cross-sectional","Low resource level, Physical environment",Risk preferences,Investing,Private Sector Participation in Infrastructure in Africa,2008
"Focus groups, Recordings, Observational","Low resource level, Social environment","Attention, Executive control",Educational achievement,New Designs for Participatory Research: Modified Photoethnography and the Personal Resource Systems Management (PRSM) Model,2009
"Observational, Interviews","Low resource level, Physical environment","Aspirations, Self-efficacy",Educational achievement,Refuge 30.1 (General Issue) Print Copy,2014
Observational,Low resource level,"Anxiety, Stress",Medication adherence,"Exploring spatial patterns in the associations between local AIDS incidence and socioeconomic and demographic variables in the state of Rio de Janeiro, Brazil",2016
"Observational, Cross-sectional",Low resource level,Aspirations,Consumption,Survey on rural household energy consumption-Based on the perspective of poverty alleviation in Hebei province,2016
Observational,"Low resource level, Resource volatility",Stress,Investing,The Tunisian Economics’ Situations After the Revolution of Arab Spring 2011,2021
"Observational, Longitudinal / Panel","Low resource level, Resource volatility","Aspirations, Self-efficacy",Food diet,Complementary feeding practices and associated factors among children aged 6–23 months in Pakistan,2021
"Observational, Case-study, Interviews",Social environment,Locus of control,Educational achievement,Interpreting Children’s Rights Education: Three perspectives and three roles for teachers,2016
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy",Educational achievement,Losing women along the path to safe motherhood: why is there such a gap between women’s use of antenatal care and skilled birth attendance? A mixed methods study in northern Uganda,2015
Observational,Low resource level,"Attention, Aspirations","Consumption, Investing",Tempered Enthusiasm for Digitally Enabled Networks in International Development,2014
Interviews,"Low resource level, Social environment","Anxiety, Depression, Internalized stigma","Family interaction, Parenting",Pregnant women and health workers’ perspectives on perinatal mental health and intimate partner violence in rural Ethiopia: a qualitative interview study,2023
"Observational, Interviews",Low resource level,Self-efficacy,Medication adherence,Comparison of health services use by Chinese urban and rural older adults in Yunnan province,2006
"Observational, Ethnography","Low resource level, Social environment","Internalized stigma, Insufficient info",Crime,New Localism: Implications for the Governance of Street Sex Work in England and Wales,2012
"Observational, Longitudinal / Panel","Low resource level, Physical environment, Human capital inputs, Social environment","Anxiety, Stress, Self-efficacy","Consumption, Educational achievement","The Impact of COVID-19 on Health Care, Education, and Persons With Disabilities in Kenya",2020
"Observational, Interviews","Low resource level, Social environment","Self-efficacy, Locus of control",Family interaction,Policies Against Poverty in Russia – A Female Responsibility,2014
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Physical environment","Aspirations, Self-efficacy",Educational achievement,Socioeconomic inequalities in under-five mortality in rural Bangladesh: evidence from seven national surveys spreading over 20 years,2017
"Randomized (controlled) trial, Observational","Low resource level, Human capital inputs",Self-efficacy,Educational achievement,The Effectiveness of a Training Program Using Differentiated Instruction to Improve the Reading Skill of Jordanian Third Graders With Learning Difficulties,2023
"Observational, Cross-sectional",Low resource level,Time preferences,Consumption,A Critical Analysis of Housing Affordability Literature: Turkish Housing Experience Konut Ödenebilirliği Literatürünün Eleştirel Bir Analizi: Türk Konut Deneyimi,2015
"Observational, Case-study",Low resource level,"Aspirations, Self-efficacy",Investing,ANALYSIS OF MEKAAR BUSINESS DEVELOPMENT STRATEGY OF PT PERMODALAN NASIONAL MADANI (PERSERO),2020
Observational,Low resource level,"Time preferences, Risk preferences",Investing,Does Access to Formal Finance Matter for Welfare and Inequality? Micro Level Evidence from Nigeria,2017
"Observational, Interviews",Low resource level,"Time preferences, Risk preferences",Consumption,Renewable Energy and Its Implications in the African Context,2022
"Observational, Ethnography",Social environment,Aspirations,Educational achievement,Advancing global citizens: Afterschool and out-of-school time as common ground for civil society,2007
"Observational, Cross-sectional","Low resource level, Human capital inputs","Aspirations, Self-efficacy",Educational achievement,Preparation of future teachers for the introduction of digital innovation in a Rural School: problems and prospects,2021
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Executive function, Self-efficacy","Educational achievement, Family interaction",Factors shaping mother-child interaction in post-Soviet countries of Eastern Europe and Central Asia,2019
"Observational, Interviews","Low resource level, Social environment","Internalized stigma, Locus of control",Family interaction,The Social Politics of Social Work: Anti-Oppressive Social Work Dilemmas in Twenty-First-Century Welfare Regimes,2013
"Observational, Interviews",Low resource level,Executive function,Labor Supply,Improving Productive Waqf in Baitul maal wa Tamwil,2024
"Observational, Cross-sectional","Low resource level, Human capital inputs","Attention, Executive control, Executive function",Educational achievement,Socio‐economic status and language acquisition: children's performance on the new Reynell Developmental Language Scales,2013
Observational,Low resource level,"Anxiety, Stress",Medication adherence,"Disparities in All-cancer and Lung Cancer Survival by Social, Behavioral, and Health Status Characteristics in the United States: A Longitudinal Follow-up of the 1997-2015 National Health Interview Survey-National Death Index Record Linkage Study",2022
"Observational, Case-study, Ethnography","Low resource level, Social environment",Internalized stigma,Educational achievement,‘It's the best place for them’: normalising Roma segregation in Madrid,2016
"Cross-sectional, Longitudinal / Panel","Low resource level, Resource volatility","Anxiety, Depression, Stress",Educational achievement,Parent report of child behaviour: Findings from the Flint Registry cohort,2022
"Observational, Longitudinal / Panel","Low resource level, Social environment","Aspirations, Self-efficacy","Educational achievement, Family interaction",Engaging with Difference Matters: Longitudinal Student Outcomes of Co-Curricular Service-Learning Programs,2008
Interviews,Human capital inputs,"Aspirations, Self-efficacy",Educational achievement,Towards teacher professionalization for inclusive education: Reflections from the perspective of a socio-cultural approach,2020
Randomized (controlled) trial,"Low resource level, Social environment","Executive control, Executive function",Educational achievement,Rhythm and Movement for Self-Regulation (RAMSR) intervention for preschool self-regulation development in disadvantaged communities: a clustered randomised controlled trial study protocol,2020
Observational,Low resource level,"Stress, Aspirations","Consumption, Food diet","Covid, the Environment and Food Systems: Contain, Cope and Rebuild Better",2021
"Observational, Cross-sectional, Interviews","Low resource level, Resource volatility","Anxiety, Stress","Consumption, Saving",Field Notes,2010
"Observational, Interviews","Low resource level, Social environment",Self-efficacy,"Consumption, Saving",CHALLENGES OF STATUTORY SOCIAL WORKERS IN LINKING FOSTER CARE SERVICES WITH SOCIO-ECONOMIC DEVELOPMENTPROGRAMMES,2017
"Observational, Case-study","Low resource level, Physical environment, Social environment","Aspirations, Internalized stigma, Locus of control",Family interaction,Vulnerability and social resilience: comparison of two neighborhoods in New Orleans after Hurricane Katrina,2016
"Observational, Interviews",Low resource level,Risk preferences,Investing,Protecting and regaining clarity of mission in the microfinance industry,2011
"Observational, Interviews, Focus groups","Low resource level, Social environment","Anxiety, Self esteem","Educational achievement, Family interaction","‘I was in need of somewhere to release my hurt:’ Addressing the mental health of vulnerable adolescent mothers in Harare, Zimbabwe, through self-help groups",2022
"Observational, Longitudinal / Panel",Low resource level,"Stress, Self-efficacy","Consumption, Medication adherence","A retrospective database study of the demographic features and glycemic control of patients with type 2 diabetes in Kinshasa, Democratic Republic of the Congo",2022
"Observational, Interviews",Social environment,Self-efficacy,Family interaction,Critical Experiential Learning in the Native American Community for Title IV-E Students: A Pilot Evaluation,2016
"Observational, Ethnography, First-hand observations","Low resource level, Social environment","Aspirations, Self-efficacy",Educational achievement,Securing inclusion: strategies for community empowerment and state redistribution,2007
"Observational, Meta-analysis",Low resource level,"Aspirations, Self-efficacy",Consumption,"Modelling the size, cost and health impacts of universal basic income: What can be done in advance of a trial?",2021
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Self-efficacy",Occupational choice,Local Community Readiness in Entrepreneurship: Do Gender Differ in Searching Business Opportunity,2013
Observational,"Low resource level, Resource volatility","Aspirations, Internalized stigma",Labor Supply,The Uses and Abuses of Inequality,2019
"Observational, Ethnography","Low resource level, Social environment",Locus of control,"Occupational choice, Crime","VOTING, NATIONHOOD, AND CITIZENSHIP IN LATE-COLONIAL AFRICA",2018
"Observational, Cross-sectional",Low resource level,Time preferences,Investing,Cultural Values Predict Subsequent Economic Growth,2009
"Observational, Interviews",Low resource level,"Self-efficacy, Executive function","Occupational choice, Consumption",Entrepreneurial Capabilities of Women Entrepreneurs and Their Contributions to Entrepreneurship Development,2021
Interviews,Low resource level,Internalized stigma,Parenting,Experiences of female clients in the assisted reproductive technology process in Nigeria,2023
"Observational, Interviews","Low resource level, Physical environment, Social environment","Anxiety, Stress","Medication adherence, Educational achievement",Health Sector Reform and Sexual and Reproductive Health Services in Mongolia,2006
Observational,Low resource level,Self-efficacy,"Investing, Saving",Applicability of Islamic microfinance as an alternative tool for Poverty Eradication in Nigeria,2023
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Locus of control",Educational achievement,"Family Economy, Rural School Choice, and Flexischooling Children with Disabilities",2016
Interviews,"Low resource level, Resource volatility","Aspirations, Locus of control","Labor Supply, Occupational choice",Voluntary military service for Hungarian people who have lost their job due to the COVID-19 pandemic – A qualitative study,2022
"Observational, Cross-sectional","Low resource level, Social environment","Stress, Risk preferences","Consumption, Exercise",Risk factors for non-communicable diseases related to obesity among first- and second-generation Bangladeshi migrants living in north-east or south-east England,2021
Observational,"Low resource level, Resource volatility",Time preferences,"Consumption, Investing",The Effectiveness of Jalin Matra Penanggulangan Kerentanan Kemiskinan Programme in Village of Ngroto,2017
"Observational, Interviews",Low resource level,"Self-efficacy, Executive function",Occupational choice,Interlocking Effects of Self-Efficacy and Self-Regulation on Social Ties and Social Entrepreneurial Orientation,2020
"Observational, Cross-sectional",Low resource level,"Aspirations, Self-efficacy",Occupational choice,Entrepreneurial mindset and growth of Micro Small and Medium Enterprises (MSME’s) in Nigeria: a case study of Abuja Municipal Area Council (AMAC) Federal Capital Territory (FCT) Abuja,2023
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress",Violence,A Cultural Perspective on Sexual Health: HIV Positive and Negative Monolingual Hispanic Women in South Florida,2011
"Observational, First-hand observations","Low resource level, Physical environment","Cognitive flexibility, Executive function","Educational achievement, Family interaction","PROBLEM-BASED, INTERDISCIPLINARY FIELD-BASED COURSES: REFLECTIONS FROM SOUTH AFRICAN EXPERIENCES",2008
"Observational, Cross-sectional, Longitudinal / Panel","Low resource level, Resource volatility, Physical environment","Anxiety, Depression, Stress","Consumption, Labor Supply",Thirty years on from Alma-Ata: Where have we come from? Where are we going?,2008
"Observational, Interviews","Low resource level, Resource volatility","Aspirations, Self-efficacy","Consumption, Educational achievement","‘Never cry for food’: food security, poverty, and recurring themes in news media regarding rabbit farming in East Africa",2024
"Interviews, Focus groups","Low resource level, Physical environment, Social environment","Anxiety, Internalized stigma",Family interaction,Vulnerability Factors of Afghan Rural Women to Disasters,2019
Randomized (controlled) trial,Low resource level,Self-efficacy,"Consumption, Crime",Reducing Risky Sex among Rural African American Cocaine Users: A Controlled Trial,2017
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Self-efficacy",Occupational choice,Factors Affecting Enterepreuerial Orientation Level of Business Women: The Case of Gambela Region of Ethiopia,2013
"Observational, Interviews",Low resource level,"Internalized stigma, Locus of control",Family interaction,The Pertinence of Partners,2005
"Observational, Longitudinal / Panel","Low resource level, Social environment","Aspirations, Self-efficacy",Educational achievement,Regional prevalence and determinants of exclusive breastfeeding in India,2019
"Observational, Longitudinal / Panel","Low resource level, Social environment","Anxiety, Depression, Stress",Educational achievement,"Predictors of mental health among U.S. adults during COVID-19 early pandemic, mid- pandemic, and post-vaccine eras",2024
"Observational, Cross-sectional","Low resource level, Physical environment","Time preferences, Risk preferences",Investing,The Effect of Access to Debt on Lebanese Small and Medium Enterprises Performance,2020
Observational,"Low resource level, Resource volatility",Stress,Consumption,Somalia,2022
"Observational, Cross-sectional","Low resource level, Physical environment","Internalized stigma, Anxiety, Stress",Medication adherence,HIV testing and associated factors among men (15-64 years) in Eastern Africa: a multilevel analysis using the recent demographic and health survey,2022
Cross-sectional,Low resource level,"Anxiety, Stress",Medication adherence,The Efficacy of the Spinal Anesthesia during Emergency Cesarean Section for Severe Preeclampsia and Eclampsia Patients,2022
Focus groups,Social environment,Self-efficacy,Family interaction,THE PERCEPTIONS OF COMMUNITY MEMBERS REGARDING THE ROLE OF SOCIAL WORKERS IN ENHANCING SOCIAL CAPITAL IN METROPOLITAN AREAS TO MANAGE HIV AND AIDS,2017
"Observational, Case-study, Interviews",Human capital inputs,"Aspirations, Self-efficacy",Educational achievement,PERSONALISED LEARNING: AMBIGUITIES IN THEORY AND PRACTICE,2007
"Observational, Focus groups","Low resource level, Resource volatility, Physical environment",Aspirations,Family interaction,“A Married Out Daughter Is Like Spilt Water”?,2009
Longitudinal / Panel,"Low resource level, Physical environment","Aspirations, Locus of control",Consumption,Disparity of Rural Income in Counties between Ecologically Functional Areas and Non-Ecologically Functional Areas from Social Capital Perspective,2024
Observational,Low resource level,Self-efficacy,Educational achievement,Education reform in New York City (2002–2013),2017
Cross-sectional,"Low resource level, Human capital inputs","Attention, Stress",Food diet,"Risk factors associated with Severe Acute Malnutrition (SAM) in children aged 6 – 59 months in the Mokolo Health District, Far North region of Cameroon",2024
"Observational, Case-study","Low resource level, Social environment","Aspirations, Self-efficacy",Occupational choice,Students as Global Virtual Team Leaders: A Model for Enquiry-Based Experiential Learning,2015
"Observational, Interviews",Low resource level,"Anxiety, Depression",Educational achievement,Introduction: The crisis in mental health and education,2022
"Randomized (controlled) trial, Observational",Low resource level,"Self-efficacy, Executive function",Labor Supply,Building leadership and managerial capacity for maternal and newborn health services,2022
"Observational, Cross-sectional","Low resource level, Physical environment",Stress,Consumption,COVID-19 lockdown and housing deprivation across European countries,2022
"Observational, Cross-sectional","Low resource level, Human capital inputs","Anxiety, Depression, Self-efficacy","Medication adherence, Educational achievement","Quality of life, depression and correlates in HIV+ people at An Hoa Clinic, Ho Chi Minh City",2019
"Observational, Interviews","Low resource level, Social environment","Anxiety, Stress","Consumption, Insufficient info","Reducing harm from HIV/AIDS misconceptions among female sex workers in Tijuana and Ciudad Juarez, Mexico: A cross sectional analysis",2012
"Observational, Focus groups",Low resource level,"Self-efficacy, Stress",Labor Supply,Job Satisfaction of Basic Education Teachers in Southeast Asia: Key Issues and Policy Recommendations,2021
"Observational, Case-study, Interviews","Low resource level, Social environment","Self-efficacy, Stress",Occupational choice,ORGANIZATIONAL CULTURAL BARRIERS IN ERADICATING POVERTY THROUGH e-WARONG KUBE PKH,2021
"Observational, Interviews","Low resource level, Social environment","Internalized stigma, Locus of control",Violence,"Language, Violence, and the State: Writing Tamil Dalits [review essay]",2010
"Case-study, Interviews","Low resource level, Social environment","Internalized stigma, Locus of control",Family interaction,"The institution of traditional authority in Okombahe, Erongo Region of Namibia: can the institution be reconciled with democratic values of justice?",2021
"Observational, Systematic review","Low resource level, Human capital inputs, Social environment","Aspirations, Internalized stigma, Locus of control",Educational achievement,"First Nations People: Addressing the Relationships between Under-Enrollment in Medical Education, STEM Education, and Health in the United States",2018
"Observational, Case-study","Low resource level, Social environment","Aspirations, Self-efficacy",Family interaction,Family Ideals,2012
Observational,Low resource level,"Time preferences, Risk preferences",Consumption,Can Social Protection Weaken Clientelism? Considering Conditional Cash Transfers as Political Reform in the Philippines,2016
Observational,"Low resource level, Social environment",Internalized stigma,Labor Supply,Discrimination and Inequality in the Labor Market,2013
"Observational, Cross-sectional","Low resource level, Human capital inputs","Executive function, Anxiety",Educational achievement,Children’s social emotional competence in Pakistan and Sweden: Factor structure and measurement invariance of the Social Competence Scale (teacher edition),2023
"Observational, Longitudinal / Panel",Low resource level,"Stress, Risk preferences","Consumption, Food diet","Plasma gelsolin levels are associated with diabetes, sex, race, and poverty",2023
"Observational, Cross-sectional","Low resource level, Social environment","Aspirations, Self-efficacy",Investing,Financial inclusion in India: an application of TOPSIS,2016
"Case-study, Interviews, Focus groups",Social environment,Internalized stigma,Family interaction,Social Work Education in the Shadow of Confederate Statues and the Specter of White Supremacy,2021
"Observational, Cross-sectional",Low resource level,"Self-efficacy, Time preferences",Saving,MUZAKI BEHAVIOR IN PAYING ZAKAT THROUGH THE APPLICATION OF THE UNIFIED THEORY MODEL ACCEPTANCE AND USE OF TECHNOLOGY IN JAKARTA PROVINCE,2022
"Observational, Systematic review","Low resource level, Human capital inputs","Aspirations, Locus of control",Educational achievement,Mass University and Social Inclusion: The Paradoxical Effect of Public Policies,2021
"Observational, Cross-sectional","Low resource level, Physical environment","Anxiety, Stress",Crime,Gender inequality in the risk of violence: material deprivation is linked to higher risk for adolescent girls,2010
"Observational, Cross-sectional",Human capital inputs,"Executive control, Executive function, Fluid intelligence",Educational achievement,Impact of Quality of ECCE Programs on Cognitive Development and School Readiness of Children.,2016
Observational,"Low resource level, Resource volatility, Physical environment","Anxiety, Stress",Food diet,Within-subject effects of environmental and social stressors on pre- and post-partum obesity-related biobehavioral responses in low-income Hispanic women: protocol of an intensive longitudinal study,2019
"Observational, Cross-sectional",Low resource level,"Time preferences, Risk preferences","Consumption, Food diet",Low-Income Population Sugar (Sucrose) Intake: A Cross-Sectional Study among Adults Assisted by a Brazilian Food Assistance Program,2019
"Case-study, Interviews",Social environment,Internalized stigma,Family interaction,EMBODYING COLLECTIVE MEMORY: TOWARDS RESPONSIBLE ENGAGEMENT WITH THE ‘OTHER’,2013
"Observational, Case-study, Interviews","Low resource level, Social environment","Anxiety, Depression, Internalized stigma",Crime,Counselling and Innovative Literacy Approaches as Strategies for Preventing STDS and HIV/AIDS Incidence among Persons with Disabilities,2007
"Observational, Longitudinal / Panel","Low resource level, Resource volatility",Aspirations,Labor Supply,Disconnected Young Adults in Germany: Initial Evidence,2011
"Observational, Cross-sectional",Low resource level,"Self-efficacy, Time preferences",Occupational choice,Factors Influencing the Success of Women Entrepreneurs in the International Market: A Comprehensive Analysis,2023
"Observational, Cross-sectional","Low resource level, Resource volatility",Self-efficacy,Investing,Socio-Economic Impact of Shea Butter Production on the Living Conditions of Producers in the Regions of Poro and Tchologo (Northern C&#244;te d’Ivoire),2021
"Observational, Interviews","Low resource level, Human capital inputs","Aspirations, Self-efficacy","Occupational choice, Educational achievement",Social and Educational Context of the Poverty of People with Disabilities in Poland,2021
"Difference-in-difference, Observational, Longitudinal / Panel",Low resource level,"Stress, Risk preferences","Consumption, Investing",The reciprocal relationship between material factors and health in the life course: evidence from SHARE and ELSA,2018
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Anxiety, Depression",Parenting,Maternal attachment representations in relation to emotional availability and discipline behaviour,2015
Observational,Low resource level,Aspirations,Educational achievement,Amartya Kumar Sen’s ethical interpretation of poverty,2017
"Observational, Cross-sectional, Case-study","Low resource level, Physical environment, Social environment","Aspirations, Internalized stigma",Violence,&lt;i&gt;Utopia&lt;/i&gt; and the Enclosing of Dramatic Landscapes,2018
"Observational, Cross-sectional","Low resource level, Resource volatility","Time preferences, Risk preferences",Occupational choice,Business startup motives and satisfaction among Swedish selfemployed,2006
"Observational, Cross-sectional","Low resource level, Social environment",Risk preferences,Crime,Who are the victims of property crime in Mexico?,2015
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs",Stress,"Exercise, Food diet",The Role of Health in Education and Human Capital: Why an Integrated Approach to School Health Could Make a Difference in the Futures of Schoolchildren in Low-Income Countries,2020
"Cross-sectional, Interviews",Low resource level,Self-efficacy,Educational achievement,"Knowledge, attitude and practice of child adoption among men and women attending the infertility clinic at the University of Benin Teaching Hospital, Benin City",2021
"Observational, Case-study, Interviews","Low resource level, Social environment","Aspirations, Locus of control",Educational achievement,Yemen’s enduring resistance: youth between politics and informal mobilization,2015
"Observational, Cross-sectional",Low resource level,Self esteem,Educational achievement,The Association between Parental Involvement Behavior and Self-Esteem among Adolescents Living in Poverty: Results from the K-CHILD Study,2020
"Observational, Meta-analysis",Low resource level,"Time preferences, Risk preferences",Consumption,The Factors Affecting Women’s Decision About Unplanned Pregnancy: A Hierarchical Modeling Strategy,2018
"Observational, Cross-sectional","Low resource level, Physical environment","Anxiety, Stress","Consumption, Food diet",A better understanding of the science and reality of obesity is urgently needed,2022
"Observational, Cross-sectional",Low resource level,Risk preferences,Borrowing,An Analysis of the Drivers of Microfinance Rating Assessments,2012
"Observational, Interviews","Low resource level, Social environment","Aspirations, Self-efficacy",Educational achievement,Role of microfinance institutions in women empowerment in Uttar Pradesh,2023
"Observational, Ethnography, First-hand observations","Low resource level, Social environment","Internalized stigma, Stress, Aspirations",Violence,<i>Disposable Women and Other Myths of Global Capitalism</i> by Melissa W. Wright,2008
"Observational, Systematic review",Low resource level,"Happiness, Self-efficacy",Labor Supply,Good for your soul? Adult learning and mental well‐being,2009
"Observational, First-hand observations","Low resource level, Physical environment",Self-efficacy,Saving,Village Savings and Loans Associations — sustainable and cost-effective rural finance,2006
"Observational, Case-study, First-hand observations","Low resource level, Physical environment","Happiness, Self esteem",Exercise,"Taking a refreshing dip: Health, cleanliness and the empire",2007
Interviews,"Low resource level, Human capital inputs",Stress,Educational achievement,Bumps in the Road: Exploring Teachers' Perceptions of Student Stress and Coping,2018
"Observational, Longitudinal / Panel","Low resource level, Human capital inputs","Aspirations, Self-efficacy","Labor Supply, Occupational choice",The Crisis of Globalization as an Opportunity to Create a Fairer World,2010
